sim,i,j,fonte_i,fonte_j,dia_i,dia_j,titulo_i,titulo_j
0.9582128524780273,743,1636,Jornal Cana,A Tribuna,2023-10-06,2024-05-24,Raízen inicia a operação em sua segunda planta de E2G ? JornalCana,Raízen inaugura planta de E2G com capacidade para produzir 82 milhões litros de etanol por ano
0.968318521976471,764,2493,Estadão,Estadão,2021-05-24,2020-05-18,Viter amplia oferta para se fortalecer em insumos,Votorantim reforça presença no setor agro
0.9228508472442627,774,1511,Diário do Grande ABC,Diário do Grande ABC,2020-10-14,2020-07-08,Diadema cede área para Sabesp construir usina de tratamento de lixo,Sabesp vai assumir gestão do lixo em Diadema por 40 anos
0.8932350873947144,781,2802,Valor Econômico - Impresso - Flip,Valor Econômico - Impresso,2018-11-05,2017-11-22,Sol­vay vai in­ves­tir R$ 150 mi­lhões em ex­pan­são até 2020,"Solvay dobra capacidade de produção de solvente ""verde"" em Paulínia"
0.8904882669448853,808,2120,Diário de Sorocaba,Cruzeiro do Sul,2021-09-01,2022-02-01,Raposo Tavares ganhará quatro novos viadutos na região de Brigadeiro Tobias,Trechos da rodovia Raposo Tavares com obras têm bloqueios parciais
0.9370810985565186,815,1375,DCI Online,Estadão,2019-11-14,2019-11-14,Pão de Açúcar planeja abrir novas unidades em 2020,GPA planeja abrir novas unidades com a marca Pão de Açúcar em 2020
0.9151569604873657,820,2056,Diário do Grande ABC - Impresso - Flip,Diário do Grande ABC - Impresso - Flip,2018-10-04,2018-10-04,Página impresso 6 (04/10/2018) - Fonte: Diário do Grande ABC,Unidade Industrial conta também com loja da Swift; drogaria será inaugurada em novembro
0.9988293647766113,827,1304,Jornal de Jundiaí,Folha de S. Paulo,2019-10-29,2019-10-29,iFood vai testar robôs para entrega de comida e prevê operação em 2020,iFood vai testar robôs para entrega de comida e prevê operação em 2020
1.0,829,2507,Araraquara,Guarulhos Web,2016-07-29,2016-07-29,Lodo e esgoto serão usados para produzir energia,Lodo e esgoto serão usados para produzir energia
0.9964475631713867,851,2604,DCI Online,DCI Online,2017-05-23,2017-05-23,Nestlé elevará capacidade de análise de alimentos com nova unidade no Brasil,Nestlé elevará capacidade de análise de alimentos com nova unidade no Brasil
0.9749871492385864,869,1738,DCI Online,DCI Online,2019-04-04,2019-04-04,Gestora Franklin Templeton investe US$ 30 milhões em fintech especializada em antecipação de ...,Gestora Franklin Templeton investe US$30 milhões em fintech Weel
1.0,872,2123,Folha da Região,DCI Online,2018-09-19,2018-09-19,Scania volta a produzir em dois turnos,Scania volta a produzir em dois turnos
0.8839685916900635,881,2122,Estadão,Estadão,2021-02-08,2019-11-28,Programa integra grandes marcas,Varejistas criam empresa de fidelidade
0.9674568176269531,907,1522,Cruzeiro do Sul,Diário do Grande ABC,2021-10-30,2021-10-29,"CCR paga R$ 1,8 bilhões para renovar concessão da Dutra",CCR vence leilão da Dutra e vai investir R$ 15 bi na rodovia
0.8976086378097534,909,1055,Estadão,DCI Online,2019-09-19,2017-09-25,Toyota anuncia investimento de R$ 1 bilhão em fábrica de Sorocaba para produzir novo carro,Toyota vai investir R$ 1 bi em fábrica de veículos em SP
0.9119834899902344,918,1029,Valor Econômico,Valor Econômico,2020-10-16,2020-10-15,"EmbraerX lança a Eve, startup de mobilidade aérea urbana",EmbraerX lança primeira empresa na área de mobilidade aérea urbana
0.882702112197876,934,2766,Diário do Grande ABC,Diário do Grande ABC - Impresso - Flip,2020-03-10,2020-03-11,Havan programa ofensiva no quintal da Casas Bahia,Havan e Casas Bahia
0.9999996423721313,949,2041,Valor Econômico,Valor Econômico - Impresso,2017-07-26,2017-07-26,Setor de energia inova no relacionamento com consumidores,Setor de energia inova no relacionamento com consumidores
1.0,956,2106,Diário da Região/São José do Rio Preto,Diário do Grande ABC,2022-03-06,2022-03-06,"Conheça novas garagens em SP, que abrigam bares e padaria","Conheça novas garagens em SP, que abrigam bares e padaria"
0.9999998807907104,985,1916,Correio Popular,Correio Popular,2022-04-04,2022-03-30,Congonhas ganha tecnologia que evita que aeronaves escapem da pista,Congonhas ganha tecnologia que evita que aeronaves escapem da pista
0.974178671836853,988,2202,Diário do Grande ABC,Estadão,2016-07-26,2016-07-26,Grupo Zaffari investe R$ 35 milhões no segundo hipermercado em São Paulo,Grupo Zaffari investe R$ 35 milhões no segundo hipermercado em São Paulo - Economia
